org_cd,proj_cd,prsn_cd,role_cd,prsn_est_hrs,prsn_act_hrs,prsn_inv_hrs,prsn_acc_hrs,prsn_status,crt_by_user,upd_by_user,crt_by_ts,upd_by_ts
"QUADYSTER","JD-DMD","sdola","consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2025-05-13 16:57:05","2025-05-13 16:57:05"
"QUADYSTER","JD-DMD","sputrevu","consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2025-05-13 16:57:05","2025-05-13 16:57:05"
"QUADYSTER","JD-ADOPS","rahmed","consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-08-28 12:04:12","2023-08-28 12:04:12"
